"taxonID"|"Name"
41766|"Morse"
41777|"loutre de rivière"
41798|"martre d'Amérique"
41808|"hermine"
41974|"Lynx du Canada"
41976|"Lynx Roux"
42076|"renard gris"
42223|"cerf de Virginie"
42412|"Boeuf musqué"
43111|"lapin à queue blanche"
43126|"lièvre arctique"
43132|"lièvre d'Amérique"
43840|"souris sauteuse des champs"
43848|"souris sauteuse des bois"
44311|"Campagnol des champs"
44319|"campagnol sylvestre"
44332|"campagnol des rochers"
44395|"souris à pattes blanches"
44396|"Souris sylvestre"
44575|"rat noir"
44705|"Souris grise"
45695|"lemming d'Ungava"
45714|"phénacomys"
45760|"campagnol-lemming boréale"
45761|"campagnol-lemming de Cooper"
46095|"marmotte commune"
46266|"grand polatouche"
46272|"petit polatouche"
46355|"musaraigne palustre"
46407|"musaraigne longicaude"
46430|"musaraigne arctique"
46430|"musaraigne nordique"
46433|"musaraigne fuligineuse"
46438|"musaraigne pygmée"
46407|"musaraigne de Gaspé"
47049|"taupe à queue velue"
6317|"Colibri d'Anna"
51471|"Crocodile de Georgie"
52202|"mouche des brous du noyer"
52205|"mouche de l'airelle"
48701|"Cèpe de Bordeaux"
12878|"Grivette petite"
12878|"Grivette olive"
12883|"Grivette Ã  joue rouges"
68104|"bryozoaires"
55893|"Aigremoine eupatoire"
55918|"Petit coquelicot"
55969|"viorne obier"
50790|"Linaire commune"
52764|"Brunelle commune"
53785|"Fumeterre officinale"
54520|"Grande camomille"
56054|"Alchemille à  lobes aigus"
56057|"Grande marguerite"
56063|"sorbier des oiseleurs"
56099|"Bugle rampante"
56132|"Jacinthe des bois"
53195|"Petite oseille"
56233|"Epipactis des marais"
60016|"English Catchfly"
62618|"Tarpon indo-pacifique"
48607|"Trompette de la Mort"
64099|"Gerres"
64100|"Gerres"
24473|"Alyte accoucheur"
24473|"Crapaud accroucheur"
24480|"Discoglosse de Galgano"
24045|"Rainette méridionale"
23998|"Rainette Sarde"
27515|"Spélerpès du Monte Albo"
27512|"Spélerpès impérial"
27517|"Spélerpès italien"
27677|"Protée anguillard"
27844|"chioglosse portugais"
27832|"pleurodèle de Waltl"
27832|"triton à côtes"
27735|"Salamandre noire"
27840|"Salamandrine méridionale"
27717|"Triton crêté Italien"
24476|"Crapaud accoucheur du Maroc"
21690|"Atélope Jaunâtre"
21688|"Atélope De Guyane Francaise"
21211|"Epipedobate Fémoral"
24479|"Discoglosse Peint"
65426|"Discoglosse À Ventre Blanc"
65339|"Rainette Camuse"
65353|"Rainette De Gaucher"
65365|"rainette à bandeau"
65370|"Rainette Marbrée Noire"
24045|"Rainette Meridionale"
24191|"Ostéocéphale De Leprieur"
23728|"Phylloméduse De Vaillant"
24336|"Rainette De Joly"
24362|"Rainette Nébuleuse"
67247|"Rainette Marteau"
67251|"Rainette Kunawalu"
23257|"Hydrolaetare De Schmidt"
22936|"Leptodactyle De Myers"
25094|"Hamptophryne Bolivien"
24907|"Synapturan De Miranda-ribeiro"
25310|"Pélobate De Varaldi"
25310|"Pélobate Marocain"
65979|"Grenouille-taureau"
66335|"Grenouille verte d'Afrique du Nord"
66606|"Éleutherodactyle porte-X"
66683|"Eleutherodactyle À Bande Gutturale"
66697|"Eleutherodactyle Inguinal"
27835|"Triton D'Algerie"
27834|"Triton De Poiret"
27832|"Pleurodèles De Waltl"
27832|"Triton D'espagne"
27832|"Triton De Waltl"
27728|"Salamandre Algire"
27728|"Salamandre Tachetée"
28194|"Rhinatrème À Deux Bandes"
10227|"Passerine indigo"
45591|"Souris épineuse de Crète"
45591|"Rat épineux de Crète"
42395|"Antilope Blanche"
43000|"Kangourou-rat roux"
41659|"Panda"
41659|"Panda géant"
42845|"Grand Couscous De C"
41653|"Panda roux"
41653|"Petit Panda"
43553|"Allocèbe"
43553|"Cheirogale Aux Oreilles Poilues"
43553|"Chirogale Aux Oreilles Poilues"
74053|"Singe hurleur brun"
74055|"Singe hurleur roux"
43439|"Singe hurleur du Guatemala"
43727|"Anamolure de Beecroft"
43726|"Anamolure de Derby"
43726|"Ecureuil Volant de Derby"
43725|"Anamolure de Pel"
40185|"Souris Marsupiale Jolie"
40187|"Souris Marsupiale"
40190|"Souris Marsupiale De Godman"
40186|"Souris Marsupiale Cannelle"
40183|"Souris Marsupiale des Marais Litoraux"
40184|"Souris Marsupiale Brune D"
42429|"Antilocapre"
42429|"Pronghorn"
42416|"Antilope Cervicapre"
41781|"Loutre à joues blanches"
41785|"Loutre à joues blanches du Congo"
41785|"Paraonyx Tachet"
45568|"Mulot rayé"
45559|"Mulot Alpestre"
74070|"Mulot Des Balkans"
45550|"Mulot"
45554|"Mulot Rupestre"
45562|"Mulot Sylvestre"
45561|"Mulot pygmée"
43624|"Potto De Calabar"
41748|"Otarie à fourrure australe"
41746|"Otarie de l'île Guadalupe"
67819|"Campagnol Terrestre"
45748|"Campagnol Amphibie"
42097|"chien des buissons aux oreilles courtes"
43606|"Avahi laineux"
43606|"Maki"
42166|"Cerf Axis"
42163|"Cerf-cochon Calamien"
42164|"Cerf-cochon De Bawean"
42165|"Cerf-cochon"
42165|"Cerf-cochon D'Indochine"
42165|"Cerf Des Marais"
74099|"Babiroussa"
74100|"Babiroussa"
74103|"Baleine De Grande Baie"
74103|"Baleine du Groenland"
41559|"Rorqual de Rudolphi"
41559|"Rorqual Sei"
41558|"Rorqual de Bryde"
41558|"Rorqual d'Eden"
41558|"Rorqual Tropical"
41553|"Baleine Bleue"
41553|"Baleine D'Ostende"
41553|"Rorqual"
41553|"Rorqual de Sibbold"
40581|"Barbastelle commune"
40581|"Barbastelle d'Europe"
41675|"Bassarai Rus"
41426|"Bérardie de Baird"
42996|"Kangourou-rat De Gaimard"
42996|"Kangourou-rat De Tasmanie"
42997|"Bettongie De Lesueur"
42997|"Kangourou-rat De Lesueur"
42998|"Bettongie"
42998|"Kangourou-rat"
42407|"Bison d'Europe"
42228|"Cerf des Marais"
42398|"Boeuf Gris Cambodgien"
42426|"Nilgau"
47067|"Paresseux à gorge brune"
47067|"Paresseux Tridactyle"
47067|"Paresseux Tridactyle De Bolivie"
42247|"Anoa des Plaines"
42243|"Tamarau"
42244|"Anoa de Quarle"
42244|"Anoa des Montagnes"
42803|"Souris-opossum De Burramys"
42803|"Souris-opossum Des Montagnes"
47092|"Tatou"
47091|"Tatou"
43654|"Ouakari Chauve"
43398|"Tamarin De Goeldi"
43398|"Tamarin Sauteur"
43375|"Marmouset"
43375|"Oustiti"
43375|"Oustiti Oreillard"
43378|"Ouistiti"
42986|"Kangourou-rat Du D"
42550|"Opossum laineux de Derby"
42543|"Opossum Laineux Roux"
42557|"Opossum Laineux Jaune"
42615|"Opossum"
74138|"Chameau de Bactriane"
42048|"Loup Vulgaire"
42045|"Loup d'Abyssinie"
41456|"Baleine Pygmée"
42357|"Bouquetin des Alpes"
42183|"Chevreuil de Sibérie"
43147|"Lapin De L'Assam"
74146|"Chat Doré Africain"
43793|"Castor d'Eurasie"
42302|"Céphalophe bai"
41514|"Dauphin De Commerson"
41516|"Dauphin Du Chili"
41517|"Dauphin De Heaviside"
41515|"Dauphin D'Hector"
74163|"Mangabé à ventre doré"
43468|"Mangabé de la Tana"
43468|"Mangabey De La Tana"
